字段名称,英文名,类型,示例,说明,拓展字段,,,,,,,,,,,,,,,,,,,,
还款时间,repayment_time,Datetime,2025/3/14 12:23:36,实际完成还款的时间,否,,,,,,,,,,,,,,,,,,,,
还款类型,repayment_type,Enum,部分还款 / 全额还款 / 提前还款,表示还款行为的类型,否,,,,,,,,,,,,,,,,,,,,
还款渠道,repayment_channel,String,GCash / Maya / Bank Transfer,用户使用的支付方式或通道,否,,,,,,,,,,,,,,,,,,,,
还款金额,repayment_amount,Decimal,500,本次实际支付金额,否,,,,,,,,,,,,,,,,,,,,
还款结果,repayment_result,Enum,成功 / 失败 / 处理中,支付网关返回结果,否,,,,,,,,,,,,,,,,,,,,
对应账单ID,bill_id,String,BILL20250314001,系统内账单唯一标识,是,,,,,,,,,,,,,,,,,,,,
对应期数,installment_no,Integer,1,该笔还款对应的分期编号,否,,,,,,,,,,,,,,,,,,,,
交易流水号,transaction_id,String,TXN123456789,第三方支付或银行流水号,是,,,,,,,,,,,,,,,,,,,,
交易时间,transaction_time,Datetime,2025/3/14 12:23:39,第三方返回的实际交易完成时间,是,,,,,,,,,,,,,,,,,,,,
手续费,transaction_fee,Decimal,5,第三方代收通道费用,是,,,,,,,,,,,,,,,,,,,,
实收金额,received_amount,Decimal,495,平台实际到账金额（扣除手续费后）,是,,,,,,,,,,,,,,,,,,,,
减免金额,waived_amount,Decimal,10,本次还款中被减免的金额,是,,,,,,,,,,,,,,,,,,,,
还款备注,repayment_remark,String,用户要求延后 / 手动修正,记录异常或说明性信息,是,,,,,,,,,,,,,,,,,,,,
